               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10231,            0.073271,                   0,                   0,                   0,                   0,                   0,             0.10024,            0.044806,                   0,            0.070667,           0.0032593,           0.0032593
                   1,            0.097181,            0.058625,                   0,          0.00045455,             0.11111,          0.00025438,          4.9443e-05,            0.098681,            0.043016,                   0,             0.04065,           0.0065763,           0.0065763
                   2,            0.087581,            0.054122,                   0,           0.0014167,             0.31481,           0.0010526,          0.00029227,            0.088269,            0.035281,                   0,            0.010618,           0.0098768,           0.0098768
                   3,            0.080223,               0.049,                   0,           0.0012593,             0.31481,           0.0011306,          0.00029932,            0.072905,            0.024793,                   0,           0.0099258,           0.0099258,           0.0099258
                   4,            0.077403,            0.044486,                   0,           0.0015556,             0.38889,           0.0019306,          0.00052914,            0.062145,            0.026864,                   0,           0.0099258,           0.0099258,           0.0099258
                   5,            0.079242,            0.045312,                   0,           0.0010423,             0.25926,           0.0010003,          0.00032078,            0.070136,            0.019473,                   0,            0.009901,            0.009901,            0.009901
                   6,             0.07505,            0.043166,                   0,           0.0017276,             0.42593,           0.0035399,          0.00082282,            0.067095,            0.021229,                   0,           0.0098763,           0.0098763,           0.0098763
                   7,            0.074895,            0.042472,                   0,           0.0031852,              0.7963,            0.017408,           0.0046169,            0.059935,            0.022879,                   0,           0.0098515,           0.0098515,           0.0098515
                   8,            0.073049,              0.0407,                   0,           0.0024444,             0.61111,           0.0043381,          0.00092167,            0.063231,            0.022902,                   0,           0.0098268,           0.0098268,           0.0098268
                   9,            0.074092,            0.036134,                   0,           0.0025185,             0.62963,           0.0043953,          0.00092113,            0.068254,            0.022899,                   0,            0.009802,            0.009802,            0.009802
                  10,            0.066831,             0.03629,                   0,           0.0036296,             0.90741,            0.040972,           0.0085854,            0.054322,             0.02248,                   0,           0.0097773,           0.0097773,           0.0097773
                  11,            0.064533,            0.035937,                   0,           0.0035648,             0.88889,            0.029809,           0.0066668,            0.053524,            0.023371,                   0,           0.0097525,           0.0097525,           0.0097525
                  12,            0.065222,            0.035785,                   0,           0.0048992,             0.94444,            0.066127,            0.020233,            0.055789,            0.022777,                   0,           0.0097278,           0.0097278,           0.0097278
                  13,            0.062699,            0.031134,                   0,            0.030659,              0.7963,              0.1105,            0.037346,            0.049785,             0.02286,                   0,            0.009703,            0.009703,            0.009703
                  14,            0.063037,            0.030649,                   0,            0.045588,             0.66667,             0.19951,            0.072472,            0.048132,             0.02242,                   0,           0.0096783,           0.0096783,           0.0096783
                  15,            0.065495,            0.032404,                   0,             0.16025,             0.61111,             0.24996,            0.094854,            0.047544,            0.022408,                   0,           0.0096535,           0.0096535,           0.0096535
                  16,            0.059684,            0.031338,                   0,             0.15486,             0.40741,             0.24707,             0.10851,            0.048791,             0.02275,                   0,           0.0096288,           0.0096288,           0.0096288
                  17,            0.056964,            0.031342,                   0,             0.13141,             0.35185,             0.12472,            0.035791,              0.0467,            0.024316,                   0,            0.009604,            0.009604,            0.009604
